"symbol","owner","relationship","date","cost","# shares","value($)","total shares","filing","type","currentprice","movingaverage"
"FRAF","""Henry Timothy G""","CEO","""Apr 22",,"24","40","996","6210","""Apr 24"," 2020"," 12:42 PM"""
"BKGM","""Ada Patricia Ann Perez""","Director","""Apr 22",,"10","61","610","112299","""Apr 23"," 2020"," 08:08 PM"""
"CNBKA","""Filler James J""","""10% Owner""","""Apr 23",,"61","100","6175","779933","""Apr 23"," 2020"," 04:52 PM"""
"AMAR","""CHEN STEPHEN T""","""President","Chairman",,,,,"0.27","100","27","776700"
"PLPC","""GIBBONS MICHAEL E""","Director","""Apr 21",,"46","23","1074","5640","""Apr 21"," 2020"," 02:36 PM"""
"CNBKA","""Delinsky Stephen R""","Director","""Apr 20",,"59","46","2746","2790","""Apr 21"," 2020"," 11:45 AM"""
"SAMG","""HOUGH RICHARD R III""","""Chairman and CEO""","""Apr 20",,"9","36","340","9586","""Apr 20"," 2020"," 08:34 PM"""
"YORW","""Rasmussen Steven R""","Director","""Apr 20",,"42","14","593","2276","""Apr 20"," 2020"," 03:16 PM"""
"PIH","""Hill John S""","""EVP"," Secretary & CFO""",,,"20","100","2060","100","""Apr 20"," 2020"
"YORW","""DOTZEL CYNTHIA""","Director","""Apr 15",,"44","25","1114","15005","""Apr 20"," 2020"," 08:44 AM"""
"YORW","""DOTZEL CYNTHIA""","Director","""Apr 16",,"42","15","635","15047","""Apr 20"," 2020"," 08:44 AM"""
"AMAR","""CHEN STEPHEN T""","""President","Chairman",,,,,"0.22","100","22","776300"
"AMAR","""CHEN STEPHEN T""","""President","Chairman",,,,,"0.23","100","23","776600"
"SPLP","""LICHTENSTEIN WARREN G""","""Executive Chairman""","""Apr 16",,"5","100","500","186912","""Apr 17"," 2020"," 07:14 PM"""
"SPLP","""LICHTENSTEIN WARREN G""","""Executive Chairman""","""Apr 15",,"4","2","10","186812","""Apr 17"," 2020"," 07:14 PM"""
"FRAF","""Henry Timothy G""","CEO","""Apr 15",,"28","34","986","6169","""Apr 17"," 2020"," 03:17 PM"""
"CADXX","""CION Ares Management"," LLC""","""10% Owner""",,,"21","46","1002","46","""Apr 17"," 2020"
"CNBKA","""EVANGELISTA PAUL A""","""Executive Vice President""","""Apr 16",,"88","7","617","5931","""Apr 17"," 2020"," 02:09 PM"""
"CNBKA","""SLOANE BARRY R""","""Chairman"," CEO and President""",,,"108","1","108","1691","""Apr 17"," 2020"
"GABC","""Ramsey Chris A""","Director","""Apr 15",,"26","64","1678","21931","""Apr 17"," 2020"," 02:05 PM"""
"GABC","""Snowden Raymond Ward""","Director","""Apr 15",,"26","97","2544","31364","""Apr 17"," 2020"," 01:54 PM"""
"GABC","""SHEIDLER JACK""","Director","""Apr 15",,"26","65","1704","51341","""Apr 17"," 2020"," 01:38 PM"""
"GABC","""Ryan Christina M""","Director","""Apr 15",,"26","34","892","2997","""Apr 17"," 2020"," 01:33 PM"""
"GABC","""KELLY JASON M""","Director","""Apr 15",,"26","65","1704","2549","""Apr 17"," 2020"," 01:18 PM"""
"GABC","""Bawel Zachary W""","Director","""Apr 15",,"26","97","2544","6986","""Apr 17"," 2020"," 01:11 PM"""
"TMDX","""Gordon Stephen""","""Chief Financial Officer""","""Apr 22",,"18","100","1800","28471","""Apr 24"," 2020"," 05:54 PM"""
"AMK","""Goldman Charles G""","""President and CEO""","""Apr 22",,"22","63","1389","2400578","""Apr 24"," 2020"," 05:35 PM"""
"ALBO","""Horn Patrick Taylor""","""Chief Medical Officer""","""Apr 22",,"17","92","1623","4465","""Apr 24"," 2020"," 05:22 PM"""
"ALBO","""Duncan Jason""","""Chief Legal Officer and GC""","""Apr 22",,"17","92","1627","4461","""Apr 24"," 2020"," 05:20 PM"""
"CARG","""Steinert Langley""","""CEO and Chairman""","""Apr 22",,"20","76","1521","254176","""Apr 24"," 2020"," 04:26 PM"""
"GGO.A","""GABELLI MARIO J""","Director","""Apr 21",,"40","100","4026","15100","""Apr 23"," 2020"," 09:47 PM"""
"FB","""Newstead Jennifer""","""VP and General Counsel""","""Apr 21",,"175","97","17002","1667","""Apr 23"," 2020"," 06:27 PM"""
"ACN","""ROWLAND DAVID""","""Executive Chairman""","""Apr 20",,"175","34","5961","22637","""Apr 22"," 2020"," 04:11 PM"""
